tarih,urun,bolge,adet,birim_fiyat,musteri
2024-01-05,Laptop,Istanbul,3,15000,Ahmet Yilmaz
2024-01-06,Mouse,Ankara,10,150,Zeynep Kaya
2024-01-06,Laptop,Izmir,2,15500,
2024-01-07,Klavye,Istanbul,5,450,Mehmet Demir
2024-01-08,Mouse,Istanbul,7,,Ayse Sahin
2024-01-09,Monitor,Bursa,1,3200,Ali Veli
2024-01-09,Monitor,Bursa,1,3200,Ali Veli
2024-01-10,Laptop,Ankara,4,15200,Fatma Ozturk
2024/01/11,Klavye,Izmir,3,470,Can Aydin
2024-01-12,Mouse,Ankara,,140,Elif Yildiz
2024-01-13,Monitor,Istanbul,2,3300,Ahmet Yilmaz
2024-01-14,laptop,ISTANBUL,1,15100,Zeynep Kaya
